Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N3	TN009	R1	11	193	252	59	155	13.24423749	7714.76834	0.04116309	5825	3.108	2397.75	45.088	417.5
N3	TN009	R2	11.4	.	.	.	.	12.23733405	7969.563802	0.03759309	6512.5	3.072	2448.25	46.396	505
N3	TN009	R3	11.4	.	.	.	.	13.75401556	6815.11471	0.040766902	4955	2.964	2020	45.238	622.5
N3	TN010	R1	10.2	200	252	52	151	8.96225954	6228.77038	0.026384892	6950	2.944	1833.75	40.822	837.5
N3	TN010	R2	9.4	.	.	.	.	11.82409461	8551.77643	0.02729001	7232.5	2.308	1973.75	40.326	867.5
N3	TN010	R3	10.8	.	.	.	.	8.760168893	6848.262032	0.026210425	7817.5	2.992	2049	40.598	952.5
N3	TN011	R1	10	197	253	56	150	8.826283824	4393.282774	0.03258664	4977.5	3.692	1622	41.362	660
N3	TN011	R2	9.8	.	.	.	.	14.00658616	7325.444561	0.053561185	5230	3.824	2801.25	43.958	575
N3	TN011	R3	9.8	.	.	.	.	12.35793694	7467.283394	0.054770376	6042.5	4.432	3309.5	44.632	772.5
N3	TN012	R1	8.2	196	255	59	140	9.606768679	3871.527778	0.035967742	4030	3.744	1449.5	45.858	802.5
N3	TN012	R2	8.8	.	.	.	.	7.856037068	4617.385787	0.030952786	5877.5	3.94	1819.25	46.136	840
N3	TN012	R3	8.6	.	.	.	.	10.53610499	5117.913001	0.043113742	4857.5	4.092	2094.25	47.664	800
N3	TN013	R1	11.8	200	255	55	180	9.362214148	7220.607662	0.035435981	7712.5	3.785	2733	41.926	640
N3	TN013	R2	10.8	.	.	.	.	9.955253488	6943.789308	0.037989247	6975	3.816	2649.75	41.776	475
N3	TN013	R3	9.4	.	.	.	.	10.82084173	5250.813449	0.039907264	4852.5	3.688	1936.5	42.338	800
N3	TN014	R1	10.4	201	255	54	180	8.472992272	5253.255208	0.03253629	6200	3.84	2017.25	43.41	727.5
N3	TN014	R2	11.6	.	.	.	.	10.42210729	7282.447466	0.042157424	6987.5	4.045	2945.75	43.014	825
N3	TN014	R3	10	.	.	.	.	10.33368341	5967.70217	0.04191342	5775	4.056	2420.5	43.34	780
N3	TN015	R1	11	200	252	52	135	13.19674778	7159.235669	0.041437788	5425	3.14	2248	41.216	762.5
